train_no,date,station_code,station_name,delay
12314,2025-09-28,DDU,PT DEEN DAYAL UPADHYAY JN,16.0
12314,2025-09-28,GAYA,GAYA JN,26.0
12314,2025-09-28,DHN,DHANBAD JN,8.0
12314,2025-09-28,ASN,ASANSOL JN,14.0
12314,2025-09-28,DGR,DURGAPUR,19.0
12314,2025-09-28,SDAH,SEALDAH,-6.0
12314,2025-09-29,NDLS,NEW DELHI,0.0
12314,2025-09-29,CNB,KANPUR CENTRAL,24.0
12314,2025-09-29,DDU,PT DEEN DAYAL UPADHYAY JN,5.0
12314,2025-09-29,GAYA,GAYA JN,11.0
12314,2025-09-29,DHN,DHANBAD JN,0.0
12314,2025-09-29,ASN,ASANSOL JN,9.0
12314,2025-09-29,DGR,DURGAPUR,14.0
12314,2025-09-29,SDAH,SEALDAH,-8.0
12314,2025-09-30,NDLS,NEW DELHI,3.0
12314,2025-09-30,CNB,KANPUR CENTRAL,26.0
12314,2025-09-30,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-09-30,GAYA,GAYA JN,14.0
12314,2025-09-30,DHN,DHANBAD JN,0.0
12314,2025-09-30,ASN,ASANSOL JN,11.0
12314,2025-09-30,DGR,DURGAPUR,28.0
12314,2025-09-30,SDAH,SEALDAH,1.0
12314,2025-10-01,NDLS,NEW DELHI,0.0
12314,2025-10-01,CNB,KANPUR CENTRAL,12.0
12314,2025-10-01,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-01,GAYA,GAYA JN,13.0
12314,2025-10-01,DHN,DHANBAD JN,7.0
12314,2025-10-01,ASN,ASANSOL JN,19.0
12314,2025-10-01,DGR,DURGAPUR,23.0
12314,2025-10-01,SDAH,SEALDAH,-3.0
12314,2025-10-02,NDLS,NEW DELHI,0.0
12314,2025-10-02,CNB,KANPUR CENTRAL,19.0
12314,2025-10-02,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-10-02,GAYA,GAYA JN,21.0
12314,2025-10-02,DHN,DHANBAD JN,18.0
12314,2025-10-02,ASN,ASANSOL JN,29.0
12314,2025-10-02,DGR,DURGAPUR,33.0
12314,2025-10-02,SDAH,SEALDAH,0.0
12314,2025-10-03,NDLS,NEW DELHI,2.0
